file_path,title,subject,level,type,content_preview
public/admin-youtube-library.html,YouTube Library Administration | Te Kete Ako | Te Kete Ako,Te Reo Māori,All Levels,lesson,YouTube Library Administration | Te Kete Ako | Te Kete Ako YouTube Library Administration | Te Kete Ako Mathematics Subject 8 Year Level ⭐ 100 Quality 📖 Resource Content 📋 Content Preview YouTube Library Administration | Te Kete Ako 📊 Resource Information Resource Type: other Quality Score: 100/100 Cultural Integration: ✅ Yes Te Reo Māori: ✅ Included 🏛️ Cultural Context This resource integrates mātauranga Māori perspectives with contemporary learning approaches. 🛡️ Cultural Safety Considerations
public/cultural-connection-pathways.html,Cultural Connection Pathways | Te Kete Ako,Science,All Levels,lesson,"Cultural Connection Pathways | Te Kete Ako 🌿 Cultural Connection Pathways Discover how mātauranga Māori weaves through all subject areas 240,973 Knowledge Connections 687 Resources Analyzed 84% Cultural Integration What Are Cultural Connection Pathways? Mātauranga Māori doesn't exist in silos - it's a holistic worldview that connects mathematics, science, arts, language, and social understanding. These pathways show you how cultural concepts thread through all learning areas. 🌟 Why This Matters "
public/teacher-insights-dashboard.html,Teacher Insights - Te Kete Ako,Te Reo Māori,Year 7,lesson,"Teacher Insights - Te Kete Ako ""Ko te piko o te māhuri, tērā te tupu o te rākau"" The growth of the sapling determines the strength of the tree — Teachers nurture young minds; their professional growth shapes future generations 📊 Teacher Insights Dashboard Data-driven insights to enhance your teaching and student outcomes 📈 Student Engagement 0 Active Students 0 Lessons Completed 0% Avg Engagement 0h Active Time 📚 Resource Usage 0 Resources Accessed This Month 📊 Resource Usage Chart 🎯 Class Perfo"
public/graphrag-test-query.html,GraphRAG Live Query Test | Te Kete Ako,Mathematics,All Levels,assessment,"GraphRAG Live Query Test | Te Kete Ako ""Whāia te pae tawhiti kia tata, whāia te pae tata kia maua"" Pursue distant horizons so they become close, pursue close horizons so they are attained 🧠 GraphRAG Live Query Test Real-time database connection test 📊 Database Statistics Querying GraphRAG database... 🔗 Cross-Subject Connections (Live) Fetching cross-curricular relationships... 📋 Raw JSON Response Loading..."
public/writing-hub.html,Writing Hub | Te Kete Ako,English,Year 11,lesson,"Writing Hub | Te Kete Ako ""He kupu, he kōrero, he whakaaro - he tangata"" Words, speech, thoughts - these make a person - empowering voice through writing 📋 MOE FRAMEWORK: 1 Hour Writing Daily (Years 7-8) ✍️ Writing Hub Composition, mechanics, and expression resources 📊 Powered by GraphRAG: 231,469 knowledge relationships 🛠️ The Writers Toolkit From hooks to conclusions, analogy to suspense - blending Western and Māori literary traditions 📚 Explore Complete Writers Toolkit → 🪝 Hooks Capture reade"
public/student-progress-tracker.html,My Learning Journey | Te Kete Ako,Mathematics,All Levels,lesson,"My Learning Journey | Te Kete Ako ""Kia kaha, kia māia, kia manawanui"" Be strong, be brave, be steadfast — Track your learning journey with pride 📈 My Learning Journey Track your progress across all subjects and celebrate your achievements 📚 0 Lessons Completed ⭐ 0 Badges Earned 🔥 0 Day Streak 🌿 0 Cultural Score 🗺️ Your Current Learning Paths Y8 Digital Kaitiakitanga 7/18 Complete 39% Complete ✅ L1: What is Our Digital Whenua ✅ L2-L7: Completed 👉 L8: Art of the Upstander (Next) Continue Learning "
public/teaching-variants-library.html,Teaching Variants Library | Te Kete Ako,Digital Technologies,All Levels,lesson,"Teaching Variants Library | Te Kete Ako ✨ Teaching Variants Library 716 multi-version resources - choose the version that fits your classroom context, teaching style, and student needs. Not duplicates - teaching options! 716 Teaching Variants Available 🤔 Why Multiple Versions? 🎨 Different Visual Styles Some use the professional CSS system, others use unified design, some use legacy styles. Choose what your students respond to best. 🌿 Cultural Integration Levels Low, medium, or high mātauranga Mā"
public/emergency-diagnostic.html,Te Kete Ako - EMERGENCY RECOVERY,Health & Pe,All Levels,lesson,"Te Kete Ako - EMERGENCY RECOVERY Skip to main content Te Kete Ako 🚨 EMERGENCY RECOVERY MODE This is a temporary emergency recovery page for Te Kete Ako Timestamp: July 26, 2025 - 12:47 PM NZST 🌿 Cultural Context | Horopaki Ahurea 🏛️ Connection to Mangakōtukutuku College Values Whaiora: Wellbeing - Caring for collective health and prosperity whaiara by encouraging students to engage with content in ways that embody this value. Approach Māori content with respect and openness Recognize students' d"
public/prerequisite-pathways.html,Learning Pathways | Te Kete Ako,Digital Technologies,All Levels,lesson,"Learning Pathways | Te Kete Ako 📚 Learning Pathways 🤔 What are Learning Pathways? Learning pathways show prerequisite relationships between resources. They answer: ""What should students learn before tackling this concept?"" Our GraphRAG has identified 272 prerequisite connections across the platform, creating clear learning sequences for teachers to follow. Filter by Subject Select a subject to view relevant learning pathways All Subjects (272) Mathematics (89) Science (76) English (45) Social St"
public/ai-assistant.html,AI Learning Assistant - Te Kete Ako,Digital Technologies,Year 9,lesson,"AI Learning Assistant - Te Kete Ako Te Kete Ako 🧠 AI Learning Assistant Powered by 5 specialized AI agents + GraphRAG (242,079 relationships!) 🌿 Kia ora! I'm your AI Learning Assistant, powered by Te Kete Ako's GraphRAG intelligence. I can help you: 🎯 Generate personalized learning paths 📚 Find related resources automatically 🌿 Integrate cultural knowledge appropriately 📊 Create adaptive assessments ⚡ Optimize student engagement Try a quick action below, or ask me anything! 🚀 Quick Actions: 🎯 Ge"
